trial_number	onset	duration
1	4.013	0
2	9.154	0
3	14.984	0
4	18.546	0
5	24.122	0
6	29.047	0
7	34.008	0
8	38.969	0
9	43.930	0
10	48.891	0
11	53.852	0
12	58.813	0
13	63.774	0
14	68.735	0
15	73.696	0
16	78.657	0
17	83.618	0
18	88.579	0
19	93.540	0
20	98.501	0
21	103.462	0
22	108.423	0
23	113.384	0
24	118.345	0
25	123.306	0
26	128.267	0
27	133.228	0
28	138.189	0
29	143.150	0
30	148.111	0
31	153.072	0
32	158.033	0
33	162.994	0
34	167.955	0
35	172.916	0
36	177.877	0
37	182.838	0
38	187.799	0
39	192.760	0
40	197.721	0
