targeting_method	pulse_intensity_rmt	second_pulse_intensity_rmt	inter_stimulus_interval	tms_pos_centre	waveform	current_direction	rmt_intensity	trial_number	tms_stim_mode
manual	80	120	2	Left_M1	monophasic	normal	56	1	dual
manual	80	120	2	Left_M1	monophasic	normal	56	2	single
manual	80	120	2	Left_M1	monophasic	normal	56	3	dual
manual	80	120	2	Left_M1	monophasic	normal	56	4	single
manual	80	120	2	Left_M1	monophasic	normal	56	5	single
manual	80	120	2	Left_M1	monophasic	normal	56	6	dual
manual	80	120	2	Left_M1	monophasic	normal	56	7	single
manual	80	120	2	Left_M1	monophasic	normal	56	8	single
manual	80	120	2	Left_M1	monophasic	normal	56	9	dual
manual	80	120	2	Left_M1	monophasic	normal	56	10	dual
manual	80	120	2	Left_M1	monophasic	normal	56	11	single
manual	80	120	2	Left_M1	monophasic	normal	56	12	dual
manual	80	120	2	Left_M1	monophasic	normal	56	13	dual
manual	80	120	2	Left_M1	monophasic	normal	56	14	single
manual	80	120	2	Left_M1	monophasic	normal	56	15	single
manual	80	120	2	Left_M1	monophasic	normal	56	16	single
manual	80	120	2	Left_M1	monophasic	normal	56	17	dual
manual	80	120	2	Left_M1	monophasic	normal	56	18	dual
manual	80	120	2	Left_M1	monophasic	normal	56	19	dual
manual	80	120	2	Left_M1	monophasic	normal	56	20	dual
manual	80	120	2	Left_M1	monophasic	normal	56	21	dual
manual	80	120	2	Left_M1	monophasic	normal	56	22	single
manual	80	120	2	Left_M1	monophasic	normal	56	23	single
manual	80	120	2	Left_M1	monophasic	normal	56	24	dual
manual	80	120	2	Left_M1	monophasic	normal	56	25	single
manual	80	120	2	Left_M1	monophasic	normal	56	26	single
manual	80	120	2	Left_M1	monophasic	normal	56	27	single
manual	80	120	2	Left_M1	monophasic	normal	56	28	single
manual	80	120	2	Left_M1	monophasic	normal	56	29	dual
manual	80	120	2	Left_M1	monophasic	normal	56	30	dual
manual	80	120	2	Left_M1	monophasic	normal	56	31	dual
manual	80	120	2	Left_M1	monophasic	normal	56	32	dual
manual	80	120	2	Left_M1	monophasic	normal	56	33	single
manual	80	120	2	Left_M1	monophasic	normal	56	34	dual
manual	80	120	2	Left_M1	monophasic	normal	56	35	dual
manual	80	120	2	Left_M1	monophasic	normal	56	36	single
manual	80	120	2	Left_M1	monophasic	normal	56	37	dual
manual	80	120	2	Left_M1	monophasic	normal	56	38	single
manual	80	120	2	Left_M1	monophasic	normal	56	39	single
manual	80	120	2	Left_M1	monophasic	normal	56	40	single
