trial_number	onset	duration						
1	4.450	0						
2	9.157	0						
3	12.450	0						
4	17.490	0						
5	21.490	0						
6	25.731	0						
7	29.973	0						
8	34.214	0						
9	38.455	0						
10	42.697	0						
11	46.938	0						
12	51.179	0						
13	55.420	0						
14	59.662	0						
15	63.903	0						
16	68.144	0						
17	72.386	0						
18	76.627	0						
19	80.868	0						
20	85.110	0						
21	89.351	0						
22	93.592	0						
23	97.833	0						
24	102.075	0						
25	106.316	0						
26	110.557	0						
27	114.799	0						
28	119.040	0						
29	123.281	0						
30	127.523	0						
31	131.764	0						
32	136.005	0						
33	140.246	0						
34	144.488	0						
35	148.729	0						
36	152.970	0						
37	157.212	0						
38	161.453	0						
39	165.694	0						
40	169.936	0						
