targeting_method	pulse_intensity_rmt	second_pulse_intensity_rmt	inter_stimulus_interval	tms_pos_centre	waveform	current_direction	rmt_intensity	trial_number	tms_stim_mode	mep_ampl_fdi	pre_rms_fdi	mep_ampl_apb	pre_rms_apb
manual	80	120	2	Left_M1	monophasic	normal	37	1	single	0.500	0.015	1.030	0.037
manual	80	120	2	Left_M1	monophasic	normal	37	2	dual	0.383	0.025	0.388	0.025
manual	80	120	2	Left_M1	monophasic	normal	37	3	single	0.913	0.026	1.586	0.017
manual	80	120	2	Left_M1	monophasic	normal	37	4	single	1.758	0.031	1.236	0.014
manual	80	120	2	Left_M1	monophasic	normal	37	5	single	1.315	0.019	0.740	0.022
manual	80	120	2	Left_M1	monophasic	normal	37	6	dual	-0.143	0.022	0.694	0.03
manual	80	120	2	Left_M1	monophasic	normal	37	7	dual	0.872	0.034	0.531	0.034
manual	80	120	2	Left_M1	monophasic	normal	37	8	dual	0.740	0.017	0.287	0.016
manual	80	120	2	Left_M1	monophasic	normal	37	9	dual	1.185	0.018	0.125	0.02
manual	80	120	2	Left_M1	monophasic	normal	37	10	single	0.860	0.028	0.385	0.023
manual	80	120	2	Left_M1	monophasic	normal	37	11	dual	1.237	0.031	0.281	0.035
manual	80	120	2	Left_M1	monophasic	normal	37	12	single	0.643	0.016	0.706	0.025
manual	80	120	2	Left_M1	monophasic	normal	37	13	dual	0.721	0.032	0.597	0.031
manual	80	120	2	Left_M1	monophasic	normal	37	14	single	0.600	0.014	0.981	0.014
manual	80	120	2	Left_M1	monophasic	normal	37	15	single	1.054	0.029	1.687	0.023
manual	80	120	2	Left_M1	monophasic	normal	37	16	single	0.897	0.031	0.844	0.034
manual	80	120	2	Left_M1	monophasic	normal	37	17	single	1.240	0.011	1.364	0.034
manual	80	120	2	Left_M1	monophasic	normal	37	18	dual	0.505	0.011	0.288	0.035
manual	80	120	2	Left_M1	monophasic	normal	37	19	dual	0.335	0.035	0.753	0.02
manual	80	120	2	Left_M1	monophasic	normal	37	20	dual	1.001	0.038	0.296	0.035
manual	80	120	2	Left_M1	monophasic	normal	37	21	dual	-0.230	0.033	0.448	0.028
manual	80	120	2	Left_M1	monophasic	normal	37	22	dual	-0.009	0.031	0.319	0.011
manual	80	120	2	Left_M1	monophasic	normal	37	23	single	1.004	0.019	0.710	0.011
manual	80	120	2	Left_M1	monophasic	normal	37	24	single	1.091	0.035	1.148	0.035
manual	80	120	2	Left_M1	monophasic	normal	37	25	dual	0.386	0.034	0.645	0.027
manual	80	120	2	Left_M1	monophasic	normal	37	26	single	0.979	0.011	0.380	0.014
manual	80	120	2	Left_M1	monophasic	normal	37	27	dual	0.224	0.014	0.113	0.028
manual	80	120	2	Left_M1	monophasic	normal	37	28	single	0.999	0.011	1.014	0.019
manual	80	120	2	Left_M1	monophasic	normal	37	29	dual	0.801	0.037	0.566	0.037
manual	80	120	2	Left_M1	monophasic	normal	37	30	single	1.277	0.033	0.969	0.037
manual	80	120	2	Left_M1	monophasic	normal	37	31	dual	0.581	0.016	-0.097	0.031
manual	80	120	2	Left_M1	monophasic	normal	37	32	single	1.090	0.03	0.768	0.024
manual	80	120	2	Left_M1	monophasic	normal	37	33	single	1.203	0.017	1.335	0.031
manual	80	120	2	Left_M1	monophasic	normal	37	34	single	0.693	0.032	1.216	0.015
manual	80	120	2	Left_M1	monophasic	normal	37	35	single	1.313	0.036	1.330	0.017
manual	80	120	2	Left_M1	monophasic	normal	37	36	dual	0.064	0.034	0.464	0.028
manual	80	120	2	Left_M1	monophasic	normal	37	37	dual	0.341	0.022	0.418	0.014
manual	80	120	2	Left_M1	monophasic	normal	37	38	dual	0.639	0.033	0.016	0.03
manual	80	120	2	Left_M1	monophasic	normal	37	39	dual	0.679	0.013	0.622	0.03
manual	80	120	2	Left_M1	monophasic	normal	37	40	single	0.908	0.035	1.280	0.018
