targeting_method	pulse_intensity_rmt	second_pulse_intensity_rmt	inter_stimulus_interval	tms_pos_centre	waveform	current_direction	rmt_intensity	trial_number	tms_stim_mode	mep_ampl_fdi	pre_rms_fdi	mep_ampl_apb	pre_rms_apb
manual	80	120	2	Left_M1	monophasic	normal	67	1	single	1.041	0.034	0.475	0.021
manual	80	120	2	Left_M1	monophasic	normal	67	2	single	0.785	0.023	0.556	0.033
manual	80	120	2	Left_M1	monophasic	normal	67	3	dual	0.222	0.038	0.696	0.029
manual	80	120	2	Left_M1	monophasic	normal	67	4	single	0.840	0.028	1.019	0.014
manual	80	120	2	Left_M1	monophasic	normal	67	5	single	1.588	0.016	1.144	0.019
manual	80	120	2	Left_M1	monophasic	normal	67	6	single	1.241	0.019	2.049	0.029
manual	80	120	2	Left_M1	monophasic	normal	67	7	single	1.317	0.034	0.805	0.013
manual	80	120	2	Left_M1	monophasic	normal	67	8	single	1.867	0.024	1.141	0.028
manual	80	120	2	Left_M1	monophasic	normal	67	9	single	1.537	0.024	0.861	0.016
manual	80	120	2	Left_M1	monophasic	normal	67	10	dual	1.059	0.02	0.527	0.015
manual	80	120	2	Left_M1	monophasic	normal	67	11	single	1.135	0.014	1.021	0.018
manual	80	120	2	Left_M1	monophasic	normal	67	12	single	1.197	0.026	0.916	0.029
manual	80	120	2	Left_M1	monophasic	normal	67	13	dual	0.894	0.012	1.002	0.029
manual	80	120	2	Left_M1	monophasic	normal	67	14	dual	0.507	0.034	0.623	0.033
manual	80	120	2	Left_M1	monophasic	normal	67	15	single	1.550	0.034	0.665	0.026
manual	80	120	2	Left_M1	monophasic	normal	67	16	dual	0.490	0.029	0.427	0.017
manual	80	120	2	Left_M1	monophasic	normal	67	17	dual	0.553	0.034	0.071	0.02
manual	80	120	2	Left_M1	monophasic	normal	67	18	dual	0.522	0.032	0.528	0.024
manual	80	120	2	Left_M1	monophasic	normal	67	19	dual	1.217	0.015	0.453	0.029
manual	80	120	2	Left_M1	monophasic	normal	67	20	dual	0.415	0.022	0.944	0.013
manual	80	120	2	Left_M1	monophasic	normal	67	21	dual	0.543	0.018	0.709	0.035
manual	80	120	2	Left_M1	monophasic	normal	67	22	single	1.682	0.022	0.723	0.019
manual	80	120	2	Left_M1	monophasic	normal	67	23	dual	1.229	0.025	0.267	0.019
manual	80	120	2	Left_M1	monophasic	normal	67	24	dual	0.827	0.021	0.193	0.025
manual	80	120	2	Left_M1	monophasic	normal	67	25	single	1.352	0.025	-0.009	0.025
manual	80	120	2	Left_M1	monophasic	normal	67	26	single	1.293	0.033	0.683	0.019
manual	80	120	2	Left_M1	monophasic	normal	67	27	dual	0.397	0.024	0.543	0.018
manual	80	120	2	Left_M1	monophasic	normal	67	28	single	1.181	0.015	1.151	0.024
manual	80	120	2	Left_M1	monophasic	normal	67	29	single	1.079	0.029	1.025	0.036
manual	80	120	2	Left_M1	monophasic	normal	67	30	single	1.012	0.038	0.831	0.024
manual	80	120	2	Left_M1	monophasic	normal	67	31	dual	0.692	0.019	0.459	0.025
manual	80	120	2	Left_M1	monophasic	normal	67	32	single	0.889	0.026	1.099	0.03
manual	80	120	2	Left_M1	monophasic	normal	67	33	dual	0.363	0.021	0.349	0.028
manual	80	120	2	Left_M1	monophasic	normal	67	34	dual	0.444	0.025	0.348	0.012
manual	80	120	2	Left_M1	monophasic	normal	67	35	single	0.970	0.029	0.897	0.024
manual	80	120	2	Left_M1	monophasic	normal	67	36	dual	0.832	0.018	0.225	0.029
manual	80	120	2	Left_M1	monophasic	normal	67	37	dual	0.643	0.036	0.085	0.028
manual	80	120	2	Left_M1	monophasic	normal	67	38	dual	0.431	0.018	0.208	0.023
manual	80	120	2	Left_M1	monophasic	normal	67	39	single	0.706	0.02	0.510	0.032
manual	80	120	2	Left_M1	monophasic	normal	67	40	dual	0.822	0.031	0.036	0.02
